Feature,Coefficients
Continent___East_Asia,0.0
Continent___Europe,0.0
Continent___North_America,0.0
Continent___Others,0.0
Country___Austria,0.0
Country___China,0.0
Country___Dutch,0.0
Country___France,0.0
Country___Germany,0.0
Country___Japan,0.0
Country___Others,0.0
Country___Swiss,0.0
Country___UK,0.0
Country___USA,0.0
Genre___Others,0.0
Genre___Photography,0.0
Genre___Print,0.0
Genre___Sculpture,0.0
Tier___1,0.0
Tier___2,0.0
Tier___3,0.0
Tier___4,0.0
age,0.014707784770329534
artwork_order,0.00037620042671661125
case_id,0.0
cnt_max,0.003025259866026462
cnt_mean,0.0013006947966611633
cnt_median,0.034596137747615364
cnt_min,0.054504601945513736
cot_max,0.005969541592206031
cot_mean,0.0
cot_min,0.0
degree_NA,0.0
edu_NA,0.0
edu_abroad,0.0
edu_both,0.0005125004901639659
edu_domestic,0.0
elite_award_not_received,0.0
elite_award_received,0.0
elite_school,0.0
elite_school_NA,0.0
estimate_center_usd,0.06739190035043219
estimate_max_usd,0.3188054954424579
estimate_min_usd,0.06472580691589419
estimate_range_usd,0.05703711932667345
fest_biennal,0.0
gender_NA,0.0
gender_female,0.0
gender_male,0.0
grad,0.0
group_show,0.005242301778629735
height,0.004262917454820397
log10_estimate_geo_mean_usd,0.14117152702514585
max_price,0.0034597312749270956
meanprice_year,0.014578691912097996
medianprice_year,0.0
min_price,0.0
no_degree,0.0
non_elite_school,0.0
price_inch_prev_10_max,0.004535658456893304
price_inch_prev_10_mean,0.0
price_inch_prev_10_min,0.0
price_inch_prev_3_max,0.0010016443523829727
price_inch_prev_3_mean,0.0
price_inch_prev_3_min,0.0
price_inch_prev_5_max,0.0
price_inch_prev_5_mean,0.0
price_inch_prev_5_min,0.00840685201052221
price_inch_prev_7_max,0.02819075703380518
price_inch_prev_7_mean,0.0
price_inch_prev_7_min,0.005588915890186676
price_same_size_prev_10_max,0.0
price_same_size_prev_10_mean,0.0
price_same_size_prev_10_min,0.00430264267931954
price_same_size_prev_3_max,0.011572970648172113
price_same_size_prev_3_mean,0.0
price_same_size_prev_3_min,0.014355962489752214
price_same_size_prev_5_max,0.0011512426531242292
price_same_size_prev_5_mean,0.0
price_same_size_prev_5_min,0.06919383272426448
price_same_size_prev_7_max,0.0
price_same_size_prev_7_mean,0.0
price_same_size_prev_7_min,0.0017614268470619314
price_usd_prev_10_max,0.014515474222044075
price_usd_prev_10_mean,0.0026633156642043936
price_usd_prev_10_min,0.009384842260087541
price_usd_prev_3_max,0.005212626917174853
price_usd_prev_3_mean,0.0
price_usd_prev_3_min,0.00660063152222846
price_usd_prev_5_max,0.0
price_usd_prev_5_mean,0.0006378801073565572
price_usd_prev_5_min,0.008140696494783087
price_usd_prev_7_max,0.0
price_usd_prev_7_mean,0.0
price_usd_prev_7_min,0.0
private_inst,0.0
public_inst,0.0
ranking,0.0022714268465084805
size_inchsqr,0.0
solo_show,0.0013641398888347923
undergrad,0.0
width,0.007478847174981455
year,0.0
