Feature,Coefficients
Continent___East_Asia,6.311828796626253e-08
Continent___Europe,2.6851892127433513e-05
Continent___North_America,5.0576733362943335e-05
Continent___Others,0.00011944696557770619
Country___Austria,0.0003503325755224459
Country___China,2.7705039475883496e-05
Country___Dutch,6.420138371040008e-06
Country___France,6.489669146223675e-06
Country___Germany,1.705458409409449e-05
Country___Japan,0.0
Country___Others,5.109188328089596e-06
Country___Swiss,1.792884758943125e-07
Country___UK,0.00013257662470316815
Country___USA,0.00011496375989885345
Genre___Others,0.0006992223543939213
Genre___Photography,0.0002315457448456354
Genre___Print,0.0002441577618910742
Genre___Sculpture,0.00019770148795059914
Tier___1,5.081200804071578e-06
Tier___2,6.248279177265223e-05
Tier___3,4.070727678814918e-06
Tier___4,2.7838040436739637e-05
age,0.010447439443281718
artwork_order,0.006947609178309956
case_id,0.003687920454522297
cnt_max,0.00290496055392073
cnt_mean,0.0032974274389450087
cnt_median,0.004376230876179782
cnt_min,0.002404471687487976
cot_max,0.0028375408258579484
cot_mean,0.005382853292749408
cot_min,0.0033364978195916132
degree_NA,1.8250299692342235e-05
edu_NA,5.300274551337759e-06
edu_abroad,0.0001447286714985967
edu_both,3.0322961210829297e-05
edu_domestic,0.00011948573647005028
elite_award_not_received,2.1712923988519213e-05
elite_award_received,0.0035837100123030856
elite_school,0.00022335945512804806
elite_school_NA,1.2944646846728356e-06
estimate_center_usd,0.01710537355163578
estimate_max_usd,0.6989268567467036
estimate_min_usd,0.00810113691097575
estimate_range_usd,0.0023208540239758203
fest_biennal,0.0005853337466497526
gender_NA,5.219568236553791e-10
gender_female,0.00013076567081628265
gender_male,5.1826547830194784e-05
grad,1.6154504488505985e-05
group_show,0.005304490769366922
height,0.0026094232352317044
log10_estimate_geo_mean_usd,0.09648618198061787
max_price,0.0032461624246784737
meanprice_year,0.003914540453029842
medianprice_year,0.0020574037189521107
min_price,0.0013263924118030238
no_degree,3.365500823540932e-05
non_elite_school,0.00016435235321743158
price_inch_prev_10_max,0.0013250551048928497
price_inch_prev_10_mean,0.0017332586289275328
price_inch_prev_10_min,0.001237848556377341
price_inch_prev_3_max,0.001267528314639304
price_inch_prev_3_mean,0.0021319524502430446
price_inch_prev_3_min,0.0011864571436008204
price_inch_prev_5_max,0.002530364344575423
price_inch_prev_5_mean,0.00239559943053482
price_inch_prev_5_min,0.0018387270611071095
price_inch_prev_7_max,0.006640911946527406
price_inch_prev_7_mean,0.0018142741004753158
price_inch_prev_7_min,0.00034254190041310906
price_same_size_prev_10_max,0.0028986068828898066
price_same_size_prev_10_mean,0.0019484563925191243
price_same_size_prev_10_min,0.0038494798619908557
price_same_size_prev_3_max,0.002956137639200378
price_same_size_prev_3_mean,0.0014174346130115501
price_same_size_prev_3_min,0.00448373339766711
price_same_size_prev_5_max,0.0014790987140833067
price_same_size_prev_5_mean,0.0014692961261006695
price_same_size_prev_5_min,0.002474580534924647
price_same_size_prev_7_max,0.001556014431992999
price_same_size_prev_7_mean,0.0012949092069441267
price_same_size_prev_7_min,0.001589382811204092
price_usd_prev_10_max,0.004448920674989994
price_usd_prev_10_mean,0.005922581041466883
price_usd_prev_10_min,0.0013194795367337932
price_usd_prev_3_max,0.0030393613635873555
price_usd_prev_3_mean,0.0021048832104206393
price_usd_prev_3_min,0.006936802883004649
price_usd_prev_5_max,0.002255144961049859
price_usd_prev_5_mean,0.0007726081330625382
price_usd_prev_5_min,0.0015510080349178785
price_usd_prev_7_max,0.0019077846814632936
price_usd_prev_7_mean,0.005293929963419039
price_usd_prev_7_min,0.0021203518610426264
private_inst,0.0020953604204568296
public_inst,0.0014899518978969168
ranking,0.002382562399052763
size_inchsqr,0.0011876419504687713
solo_show,0.0019267635811034203
undergrad,0.000217372738159884
width,0.004678712096536055
year,0.0020052383386396067
