Feature,Coefficients
Continent___East_Asia,2.601627396471934e-05
Continent___Europe,3.061930683290605e-05
Continent___North_America,9.86480304793454e-05
Continent___Others,0.00011729650340072827
Country___Austria,0.0003498961904795209
Country___China,3.3696697465928314e-06
Country___Dutch,1.5431329046444274e-06
Country___France,0.0002368307515631936
Country___Germany,2.1201857991425238e-05
Country___Japan,3.1555574421332463e-08
Country___Others,2.7850738602195627e-06
Country___Swiss,2.082526418779854e-06
Country___UK,0.00014640645919428578
Country___USA,1.923870196021605e-05
Genre___Others,0.0007056000625667729
Genre___Photography,0.00022307100322485507
Genre___Print,0.0002410612681605837
Genre___Sculpture,0.00018760782731902948
Tier___1,3.0574699877856864e-05
Tier___2,0.0001884239464878983
Tier___3,3.039943091463387e-06
Tier___4,2.4303373825000785e-05
age,0.009971467561518479
artwork_order,0.00470720566565262
case_id,0.0035332611498752435
cnt_max,0.0029025624537854957
cnt_mean,0.003092251969803963
cnt_median,0.003759674883728895
cnt_min,0.0029192833658159972
cot_max,0.001571028511313683
cot_mean,0.006623360728783685
cot_min,0.0032841835316894026
degree_NA,2.540539949252642e-06
edu_NA,8.24712650083683e-06
edu_abroad,0.0001746486396491268
edu_both,6.510373393356704e-05
edu_domestic,0.00011123596682971416
elite_award_not_received,0.0029683459140165697
elite_award_received,0.00026982007094236417
elite_school,0.0001756298478745895
elite_school_NA,7.029680152306331e-06
estimate_center_usd,0.014486939186310758
estimate_max_usd,0.6980622447564595
estimate_min_usd,0.009037171626162176
estimate_range_usd,0.002582369621246514
fest_biennal,0.0006646376967269249
gender_NA,0.0
gender_female,0.00012907876618875494
gender_male,9.623984622337365e-05
grad,8.000251723518252e-05
group_show,0.005733640777310163
height,0.005571892662986731
log10_estimate_geo_mean_usd,0.09883945243430307
max_price,0.0029690257091264036
meanprice_year,0.003914277598582843
medianprice_year,0.0025939808634167904
min_price,0.0014565132371765976
no_degree,5.350231863234644e-05
non_elite_school,0.00015739345340897744
price_inch_prev_10_max,0.0012814590823903682
price_inch_prev_10_mean,0.002508454426847795
price_inch_prev_10_min,0.001307370329613359
price_inch_prev_3_max,0.0012001495347824765
price_inch_prev_3_mean,0.0014416693595483382
price_inch_prev_3_min,0.001731943225585142
price_inch_prev_5_max,0.00255980997214705
price_inch_prev_5_mean,0.0009817777220787257
price_inch_prev_5_min,0.0017504404407118052
price_inch_prev_7_max,0.009556665165482855
price_inch_prev_7_mean,0.0010069670292407824
price_inch_prev_7_min,0.0006788096040077538
price_same_size_prev_10_max,0.0024113795584052985
price_same_size_prev_10_mean,0.0013829715508305918
price_same_size_prev_10_min,0.00404517494142919
price_same_size_prev_3_max,0.0031570931604118354
price_same_size_prev_3_mean,0.0010594510916981383
price_same_size_prev_3_min,0.0023714463378699964
price_same_size_prev_5_max,0.0010295777242879246
price_same_size_prev_5_mean,0.000971970570024856
price_same_size_prev_5_min,0.002394262378199053
price_same_size_prev_7_max,0.002808326458966913
price_same_size_prev_7_mean,0.0024394885126232933
price_same_size_prev_7_min,0.002383949593094498
price_usd_prev_10_max,0.004150638982888274
price_usd_prev_10_mean,0.005992667489319922
price_usd_prev_10_min,0.0021615275494982645
price_usd_prev_3_max,0.0016648184650284708
price_usd_prev_3_mean,0.0032854895727059304
price_usd_prev_3_min,0.006503381878487063
price_usd_prev_5_max,0.0010028036475715158
price_usd_prev_5_mean,0.0007104296852325682
price_usd_prev_5_min,0.0013754788830470884
price_usd_prev_7_max,0.0026418442079065023
price_usd_prev_7_mean,0.005713496797676889
price_usd_prev_7_min,0.0010979561661301662
private_inst,0.0023987968574737074
public_inst,0.001578120041458768
ranking,0.002456147953092207
size_inchsqr,0.0015879106376484463
solo_show,0.0012411321115067518
undergrad,6.970305913665938e-05
width,0.004787914750915459
year,0.0018842409207598936
