Feature,Coefficients
Continent___East_Asia,0.0
Continent___Europe,0.0
Continent___North_America,0.0
Continent___Others,0.0
Country___Austria,0.0
Country___China,4.519573303900199e-05
Country___Dutch,0.0
Country___France,0.0
Country___Germany,0.0
Country___Japan,0.0
Country___Others,0.0
Country___Swiss,0.0
Country___UK,0.0
Country___USA,0.0
Genre___Others,0.0
Genre___Photography,0.0
Genre___Print,0.0
Genre___Sculpture,7.2234722842030145e-06
Tier___1,0.0
Tier___2,0.0
Tier___3,0.0
Tier___4,5.967921997526178e-05
age,0.0033584519590478404
artwork_order,0.0006954402153178544
case_id,0.0008978177736464958
cnt_max,0.0014812522800317167
cnt_mean,0.0026187397447704286
cnt_median,0.0026938412705795113
cnt_min,0.0023338506137006434
cot_max,0.00046379703261690007
cot_mean,0.0011002771424114715
cot_min,0.0
degree_NA,0.0
edu_NA,0.0
edu_abroad,0.0
edu_both,0.0004505943106518652
edu_domestic,0.0
elite_award_not_received,0.0
elite_award_received,0.0
elite_school,0.0
elite_school_NA,0.0
estimate_center_usd,0.2687993916133733
estimate_max_usd,0.3045790365184983
estimate_min_usd,0.04662460529769014
estimate_range_usd,0.0033436469514062737
fest_biennal,0.0
gender_NA,0.0
gender_female,0.0
gender_male,0.0
grad,0.0
group_show,0.00015852972261448656
height,0.0015084960110200649
log10_estimate_geo_mean_usd,0.32308932604924395
max_price,0.0003115100946355307
meanprice_year,0.00286826220165662
medianprice_year,0.0010248059739861846
min_price,0.0003771118621025786
no_degree,0.0
non_elite_school,0.0
price_inch_prev_10_max,0.0007615596343416896
price_inch_prev_10_mean,2.181119605649767e-05
price_inch_prev_10_min,8.784619310077665e-06
price_inch_prev_3_max,6.722598014997873e-05
price_inch_prev_3_mean,4.682590406181193e-05
price_inch_prev_3_min,0.00039944529146198563
price_inch_prev_5_max,0.0
price_inch_prev_5_mean,6.469286994105167e-07
price_inch_prev_5_min,8.970355194854747e-05
price_inch_prev_7_max,0.00042091080850143543
price_inch_prev_7_mean,0.0
price_inch_prev_7_min,6.573084682971847e-05
price_same_size_prev_10_max,7.362507221825331e-05
price_same_size_prev_10_mean,0.001742323798691956
price_same_size_prev_10_min,0.0009530556346760144
price_same_size_prev_3_max,0.0008795675634644699
price_same_size_prev_3_mean,0.0008376338674003914
price_same_size_prev_3_min,0.0008650878363424009
price_same_size_prev_5_max,0.00036302023987861565
price_same_size_prev_5_mean,0.00020152724121380155
price_same_size_prev_5_min,0.0016030909018224628
price_same_size_prev_7_max,0.0004872104926748449
price_same_size_prev_7_mean,0.001270616564611803
price_same_size_prev_7_min,0.00029090885211445716
price_usd_prev_10_max,0.00038745792030197494
price_usd_prev_10_mean,0.004147043237339871
price_usd_prev_10_min,0.001560853208611308
price_usd_prev_3_max,0.0006770919520462217
price_usd_prev_3_mean,0.0006148186678845476
price_usd_prev_3_min,0.0012342937612401406
price_usd_prev_5_max,5.2335466466462285e-05
price_usd_prev_5_mean,0.001855464888444047
price_usd_prev_5_min,0.00011102689491120507
price_usd_prev_7_max,0.0004326649288812581
price_usd_prev_7_mean,0.002288851596700599
price_usd_prev_7_min,0.00033735992939132645
private_inst,8.002522704788228e-05
public_inst,0.0
ranking,0.0003676471426059456
size_inchsqr,0.0011971105630710782
solo_show,0.0
undergrad,0.0
width,0.002983030659067132
year,0.0013317280652176025
