Feature,Coefficients
Continent___East_Asia,-2.0203340871592584e+16
Continent___Europe,-9.259610008586578e+16
Continent___North_America,1.3335162298536038e+16
Continent___Others,-2.774310577424312e+16
Country___Austria,1.82671044096473e+16
Country___China,1.0019676584788856e+16
Country___Dutch,1.1104297753038068e+16
Country___France,2.7616739371334744e+16
Country___Germany,2.270308351522056e+16
Country___Japan,1949233114201792.0
Country___Others,2.6539565174709384e+16
Country___Swiss,1.1354952091761496e+16
Country___UK,4.147136999778249e+16
Country___USA,-5.693925377626648e+16
Genre___Others,1.602744988524832e+16
Genre___Photography,1.814856855683952e+16
Genre___Print,1.6855946863525152e+16
Genre___Sculpture,1.5869636084158906e+16
Tier___1,4.107007532009455e+16
Tier___2,2.454965955517761e+16
Tier___3,2.578365062283404e+16
Tier___4,3.4539344918182996e+16
age,1223.0
artwork_order,-396.0
case_id,479.0
cnt_max,-3956.0
cnt_mean,634.5
cnt_median,8222.5
cnt_min,-516.75
cot_max,6062.625
cot_mean,5.75
cot_min,-2314.25
degree_NA,-9454527109857848.0
edu_NA,-1719667765702112.0
edu_abroad,1.0327986616991394e+16
edu_both,1.4717723895835432e+16
edu_domestic,2.001247771436639e+16
elite_award_not_received,-353920112008269.75
elite_award_received,-353920112008935.0
elite_school,-4.202253620788121e+16
elite_school_NA,-2.4392221624346264e+16
estimate_center_usd,-16549526849720.5
estimate_max_usd,28421483077121.0
estimate_min_usd,-6563694152744.0
estimate_range_usd,-5454827714310.5
fest_biennal,-1019.5
gender_NA,-1870875249567252.0
gender_female,-3.0510205135984696e+16
gender_male,-3.0552342123117776e+16
grad,-4.3548551985759736e+16
group_show,-1740.0
height,1310.0
log10_estimate_geo_mean_usd,-3560.0
max_price,-3223.25
meanprice_year,3336.0
medianprice_year,-1404.0
min_price,-1152.0
no_degree,-2.8553906017400696e+16
non_elite_school,-4.583771005697352e+16
price_inch_prev_10_max,8399.0
price_inch_prev_10_mean,-10428.0
price_inch_prev_10_min,-608.0
price_inch_prev_3_max,-319.0
price_inch_prev_3_mean,477.0
price_inch_prev_3_min,-1578.0
price_inch_prev_5_max,3800.0
price_inch_prev_5_mean,-5964.0
price_inch_prev_5_min,742.0
price_inch_prev_7_max,-9582.0
price_inch_prev_7_mean,11092.0
price_inch_prev_7_min,-144.0
price_same_size_prev_10_max,-10790.0
price_same_size_prev_10_mean,12692.0
price_same_size_prev_10_min,2026.0
price_same_size_prev_3_max,398.0
price_same_size_prev_3_mean,244.0
price_same_size_prev_3_min,1236.0
price_same_size_prev_5_max,78.0
price_same_size_prev_5_mean,5634.0
price_same_size_prev_5_min,-1708.0
price_same_size_prev_7_max,5116.0
price_same_size_prev_7_mean,-10084.0
price_same_size_prev_7_min,615.0
price_usd_prev_10_max,-2948.0
price_usd_prev_10_mean,1448.0
price_usd_prev_10_min,1178.0
price_usd_prev_3_max,6108.0
price_usd_prev_3_mean,-4122.0
price_usd_prev_3_min,2743.0
price_usd_prev_5_max,-5616.0
price_usd_prev_5_mean,3941.0
price_usd_prev_5_min,-1008.0
price_usd_prev_7_max,3890.0
price_usd_prev_7_mean,597.0
price_usd_prev_7_min,2528.0
private_inst,3538.0
public_inst,1306.0
ranking,-428.0
size_inchsqr,-3089.5
solo_show,-2188.0
undergrad,-4.872967619283805e+16
width,-880.0
year,2176.0
