,,0
elite_award_received,elite_award_not_received,-1.0
elite_award_not_received,elite_award_received,-1.0
gender_male,gender_female,-0.9981234952520047
gender_female,gender_male,-0.9981234952520047
Continent___Europe,Country___USA,-0.9322675820596876
Continent___North_America,Continent___Europe,-0.9322675820596876
Country___USA,Continent___Europe,-0.9322675820596876
Continent___Europe,Continent___North_America,-0.9322675820596876
non_elite_school,elite_school,-0.8493355174073454
elite_school,non_elite_school,-0.8493355174073454
undergrad,grad,-0.7145770330960897
grad,undergrad,-0.7145770330960897
edu_domestic,edu_both,-0.6544385991609905
edu_both,edu_domestic,-0.6544385991609905
Tier___4,Tier___1,-0.6191638268455703
Tier___1,Tier___4,-0.6191638268455703
Country___UK,Continent___North_America,-0.5182373325875204
Country___USA,Country___UK,-0.5182373325875204
Country___UK,Country___USA,-0.5182373325875204
Continent___North_America,Country___UK,-0.5182373325875204
edu_domestic,degree_NA,-0.5015644391087963
edu_domestic,edu_NA,-0.5015644391087963
degree_NA,edu_domestic,-0.5015644391087963
edu_NA,edu_domestic,-0.5015644391087963
edu_domestic,elite_school_NA,-0.49041134269040926
elite_school_NA,edu_domestic,-0.49041134269040926
ranking,group_show,-0.45897112640224186
group_show,ranking,-0.45897112640224186
Tier___1,Continent___Europe,-0.43835223523418243
Continent___Europe,Tier___1,-0.43835223523418243
public_inst,ranking,-0.4376415221104265
ranking,public_inst,-0.4376415221104265
edu_abroad,edu_domestic,-0.4355247620933854
edu_domestic,edu_abroad,-0.4355247620933854
non_elite_school,elite_school_NA,-0.4159718487447167
elite_school_NA,non_elite_school,-0.4159718487447167
degree_NA,non_elite_school,-0.40906768999593746
non_elite_school,degree_NA,-0.40906768999593746
edu_NA,non_elite_school,-0.40906768999593746
non_elite_school,edu_NA,-0.40906768999593746
Tier___3,Tier___1,-0.4028361044069792
Tier___1,Tier___3,-0.4028361044069792
Genre___Photography,Genre___Print,-0.3977742064620843
Genre___Print,Genre___Photography,-0.3977742064620843
no_degree,undergrad,-0.3808017416809905
undergrad,no_degree,-0.3808017416809905
Tier___1,Tier___2,-0.37874158493394317
Tier___2,Tier___1,-0.37874158493394317
elite_school_NA,elite_award_not_received,-0.36542930344100627
elite_award_not_received,elite_school_NA,-0.36542930344100627
Genre___Others,Genre___Photography,-0.3618587099827576
Genre___Photography,Genre___Others,-0.3618587099827576
edu_NA,elite_award_not_received,-0.3593640326061853
