,,0
elite_award_received,elite_award_not_received,-1.0
elite_award_not_received,elite_award_received,-1.0
gender_male,gender_female,-0.9981234952520047
gender_female,gender_male,-0.9981234952520047
Continent___Europe,Country___USA,-0.9322675820596876
Continent___North_America,Continent___Europe,-0.9322675820596876
Country___USA,Continent___Europe,-0.9322675820596876
Continent___Europe,Continent___North_America,-0.9322675820596876
non_elite_school,elite_school,-0.8493355174073454
elite_school,non_elite_school,-0.8493355174073454
undergrad,grad,-0.7145770330960897
grad,undergrad,-0.7145770330960897
edu_domestic,edu_both,-0.6544385991609905
edu_both,edu_domestic,-0.6544385991609905
Tier___4,Tier___1,-0.6191638268455703
Tier___1,Tier___4,-0.6191638268455703
Country___UK,Continent___North_America,-0.5182373325875204
Country___USA,Country___UK,-0.5182373325875204
Country___UK,Country___USA,-0.5182373325875204
Continent___North_America,Country___UK,-0.5182373325875204
edu_domestic,degree_NA,-0.5015644391087963
edu_domestic,edu_NA,-0.5015644391087963
degree_NA,edu_domestic,-0.5015644391087963
edu_NA,edu_domestic,-0.5015644391087963
price_inch_prev_7_mean,medianprice_year,0.506855581412681
medianprice_year,price_inch_prev_7_mean,0.506855581412681
cnt_mean,cnt_max,0.5076059012595255
cnt_max,cnt_mean,0.5076059012595255
cnt_mean,cot_max,0.5080608121561813
cot_max,cnt_mean,0.5080608121561813
price_same_size_prev_3_max,price_inch_prev_3_max,0.5083430846764064
price_inch_prev_3_max,price_same_size_prev_3_max,0.5083430846764064
max_price,cnt_mean,0.5093318694311346
cnt_mean,max_price,0.5093318694311346
cnt_max,cot_mean,0.5097664841062063
cot_mean,cnt_max,0.5097664841062063
price_usd_prev_7_min,price_usd_prev_10_mean,0.515972117919302
price_usd_prev_10_mean,price_usd_prev_7_min,0.515972117919302
cnt_max,meanprice_year,0.5166862486063425
meanprice_year,cnt_max,0.5166862486063425
Continent___Others,Country___Others,0.5197012512601007
Country___Others,Continent___Others,0.5197012512601007
Continent___North_America,Tier___1,0.5205429131686166
Tier___1,Continent___North_America,0.5205429131686166
Tier___1,Country___USA,0.5205429131686166
Country___USA,Tier___1,0.5205429131686166
price_usd_prev_7_min,price_usd_prev_7_mean,0.521557880234134
price_usd_prev_7_mean,price_usd_prev_7_min,0.521557880234134
price_same_size_prev_5_min,price_same_size_prev_7_min,0.5216795481281851
price_same_size_prev_7_min,price_same_size_prev_5_min,0.5216795481281851
