Feature,Coefficients
Continent___East_Asia,-5.4133009472458635
Continent___Europe,0.710833675219265
Continent___North_America,1.0978955781674753
Continent___Others,-2.0863756966548443
Country___Austria,1.265567683877995
Country___China,2.3578878222412887
Country___Dutch,-4.1498373006940845
Country___France,-2.7403903280047035
Country___Germany,-1.3382372361452992
Country___Japan,-47.83262303528596
Country___Others,1.3583065362048257
Country___Swiss,-3.448738054248068
Country___UK,3.5733673264578494
Country___USA,1.0978955781674753
Genre___Others,3.3821893921495443
Genre___Photography,-0.9955576568209099
Genre___Print,0.8250163795551464
Genre___Sculpture,-3.1535919656832103
Tier___1,1.9274884963578376
Tier___2,-2.2650185346289873
Tier___3,-1.1053234399654661
Tier___4,0.14310084919918742
age,4.366044442070382
artwork_order,-2.8487351987882645
case_id,2.613123387392917
cnt_max,2.6571435988413983
cnt_mean,0.10033510042733773
cnt_median,-3.16838208520237
cnt_min,-29.32169406080099
cot_max,2.106240635566816
cot_mean,0.10967070752155994
cot_min,-41.15630623914875
degree_NA,-1.6243483371319916
edu_NA,-1.6243483371319916
edu_abroad,0.32185542976570014
edu_both,-3.9760577441177727
edu_domestic,3.7099540297213838
elite_award_not_received,-0.2637698101592534
elite_award_received,0.26376981015923895
elite_school,-2.3520754206346215
elite_school_NA,-0.6952720469541736
estimate_center_usd,0.12223851880322661
estimate_max_usd,0.4444825654498385
estimate_min_usd,-0.32675531718158335
estimate_range_usd,2.338219778187935
fest_biennal,-1.9148576439594205
gender_NA,-45.685628458484736
gender_female,-4.456203680134276
gender_male,7.247621117235923
grad,1.3590828582960652
group_show,-4.61369184668679
height,-5.539066110346131
log10_estimate_geo_mean_usd,0.93654499465893
max_price,-2.026925909472906
meanprice_year,-18.538684183269243
medianprice_year,11.836573036038024
min_price,13.003720591056645
no_degree,-1.0718713126090955
non_elite_school,2.5262912183413464
price_inch_prev_10_max,-23.49238894223063
price_inch_prev_10_mean,-13.736318796312931
price_inch_prev_10_min,-8.34235778777063
price_inch_prev_3_max,3.9063603328418504
price_inch_prev_3_mean,3.7583969550508973
price_inch_prev_3_min,3.690990184696259
price_inch_prev_5_max,-17.33092831164285
price_inch_prev_5_mean,-11.674223168550423
price_inch_prev_5_min,-2.0038169325083097
price_inch_prev_7_max,-14.700619729733196
price_inch_prev_7_mean,-11.103303052065376
price_inch_prev_7_min,-3.732824989903515
price_same_size_prev_10_max,-10.563501583316258
price_same_size_prev_10_mean,-4.639835701190126
price_same_size_prev_10_min,-19.598668066832563
price_same_size_prev_3_max,-2.0604515818430738
price_same_size_prev_3_mean,-2.2584955367607824
price_same_size_prev_3_min,-1.1335797617430379
price_same_size_prev_5_max,-1.2784470781959192
price_same_size_prev_5_mean,-1.61883921226783
price_same_size_prev_5_min,-7.549047195592592
price_same_size_prev_7_max,-0.7266815502153855
price_same_size_prev_7_mean,-0.5389904587083568
price_same_size_prev_7_min,-13.006192153740432
price_usd_prev_10_max,-0.9285963134422945
price_usd_prev_10_mean,4.950204483283187
price_usd_prev_10_min,-3.1583238646918663
price_usd_prev_3_max,0.26121964181142815
price_usd_prev_3_mean,-0.961554362531369
price_usd_prev_3_min,0.9216454007272541
price_usd_prev_5_max,-2.4406013760775407
price_usd_prev_5_mean,0.22913942325073217
price_usd_prev_5_min,-0.9888410652151787
price_usd_prev_7_max,-3.0236563634520537
price_usd_prev_7_mean,1.0866975857344563
price_usd_prev_7_min,1.4143182268911714
private_inst,-1.0220391053287659
public_inst,-1.4855289361552615
ranking,-6.04717004103783
size_inchsqr,-0.19861704655235618
solo_show,-1.845676649568484
undergrad,0.17693074517546803
width,-0.8196492343003938
year,0.5457387492492869
