Feature,Coefficients
Continent___East_Asia,2.5848526932502383e-05
Continent___Europe,0.00013673026378886895
Continent___North_America,8.379288282809299e-05
Continent___Others,0.00019064687625829476
Country___Austria,6.060766552545072e-05
Country___China,5.773961126616413e-05
Country___Dutch,1.2812340509345489e-05
Country___France,4.1441432708663495e-05
Country___Germany,7.55984904974389e-05
Country___Japan,6.040222327945138e-08
Country___Others,3.9482891900762676e-05
Country___Swiss,1.7059818551269798e-06
Country___UK,0.00018120676512251434
Country___USA,0.00018645260965630237
Genre___Others,0.000666429452854148
Genre___Photography,0.0002247525234680579
Genre___Print,0.00045292767581733514
Genre___Sculpture,0.00030319689144123896
Tier___1,0.0001029538230923549
Tier___2,0.00042708044899347937
Tier___3,3.271704061205778e-05
Tier___4,0.00014696829548449896
age,0.007112837257693959
artwork_order,0.004698819919463419
case_id,0.006014042016621048
cnt_max,0.002438164422783913
cnt_mean,0.00390945561000264
cnt_median,0.004778033293063599
cnt_min,0.00444491440084484
cot_max,0.0021957480289347404
cot_mean,0.002838618950871521
cot_min,0.002839905510021194
degree_NA,6.556240600653e-05
edu_NA,7.852357155322785e-05
edu_abroad,0.00013118768443240038
edu_both,9.43534584182349e-05
edu_domestic,0.00019043890131639687
elite_award_not_received,0.00022069395263242246
elite_award_received,0.00022387372088648633
elite_school,0.00025194976650822637
elite_school_NA,5.126265280304664e-05
estimate_center_usd,0.18352485385670358
estimate_max_usd,0.3152787549741963
estimate_min_usd,0.10840628858225633
estimate_range_usd,0.0030515508938039186
fest_biennal,0.000774704246351479
gender_NA,7.670827334400131e-08
gender_female,0.00018783115296510178
gender_male,0.00017950541978834636
grad,0.00032177150581306157
group_show,0.001982924714628118
height,0.00445066669686746
log10_estimate_geo_mean_usd,0.2115804093072629
max_price,0.0031040446001685935
meanprice_year,0.004680698851732215
medianprice_year,0.0034213157047961002
min_price,0.002505277694580133
no_degree,6.174571315908811e-05
non_elite_school,0.00018921022908593196
price_inch_prev_10_max,0.0026029920505364302
price_inch_prev_10_mean,0.002485282426278314
price_inch_prev_10_min,0.0029323525485161523
price_inch_prev_3_max,0.0020285359098070593
price_inch_prev_3_mean,0.0018161803506060738
price_inch_prev_3_min,0.0022161846320762815
price_inch_prev_5_max,0.0019602885165478858
price_inch_prev_5_mean,0.001964179498438571
price_inch_prev_5_min,0.0018284714308267334
price_inch_prev_7_max,0.001996853092172688
price_inch_prev_7_mean,0.0024662758656675402
price_inch_prev_7_min,0.0017532021860732494
price_same_size_prev_10_max,0.0023065286836440576
price_same_size_prev_10_mean,0.0018350800214530056
price_same_size_prev_10_min,0.0030204339501010828
price_same_size_prev_3_max,0.002567270437172649
price_same_size_prev_3_mean,0.0017011380179693275
price_same_size_prev_3_min,0.0034517831609120614
price_same_size_prev_5_max,0.001813065269010351
price_same_size_prev_5_mean,0.0019531760884310707
price_same_size_prev_5_min,0.0029268100958228698
price_same_size_prev_7_max,0.001815099620286892
price_same_size_prev_7_mean,0.0016846084160173044
price_same_size_prev_7_min,0.002360004328697403
price_usd_prev_10_max,0.004035816242113382
price_usd_prev_10_mean,0.005561984088948686
price_usd_prev_10_min,0.004030496724916354
price_usd_prev_3_max,0.002939744792627259
price_usd_prev_3_mean,0.002992102957387457
price_usd_prev_3_min,0.004238348350610613
price_usd_prev_5_max,0.0023001166418351866
price_usd_prev_5_mean,0.0030744793631936863
price_usd_prev_5_min,0.003086417576613951
price_usd_prev_7_max,0.0024219321001979583
price_usd_prev_7_mean,0.003301161783373557
price_usd_prev_7_min,0.0025134914415949018
private_inst,0.0019163732238717131
public_inst,0.001670339537073759
ranking,0.002169858765921498
size_inchsqr,0.0026231619722936676
solo_show,0.0017113033657436053
undergrad,0.00026348480194479223
width,0.003532992600058216
year,0.0023994278024889863
