Feature,Coefficients
Continent___East_Asia,0.0009516873
Continent___Europe,0.00034141916
Continent___North_America,0.0008912737
Continent___Others,0.002030341
Country___Austria,0.00026794008
Country___China,0.0018296128
Country___Dutch,0.00055972097
Country___France,0.00020015449
Country___Germany,0.00062835956
Country___Japan,0.0
Country___Others,0.000580085
Country___Swiss,3.6596089e-06
Country___UK,0.00038477094
Country___USA,0.0
Genre___Others,0.00044401153
Genre___Photography,0.0006467111
Genre___Print,0.00043179697
Genre___Sculpture,0.00059000327
Tier___1,0.00027597297
Tier___2,0.0050950754
Tier___3,0.0
Tier___4,0.0016228919
age,0.0029521037
artwork_order,0.002284239
case_id,0.0032487502
cnt_max,0.0015037371
cnt_mean,0.0031427783
cnt_median,0.0026172365
cnt_min,0.0045352746
cot_max,0.010059106
cot_mean,0.0079892315
cot_min,0.006453065
degree_NA,0.0032641124
edu_NA,0.0
edu_abroad,0.0030941793
edu_both,0.0011503785
edu_domestic,0.003403631
elite_award_not_received,0.02238262
elite_award_received,0.0
elite_school,0.001675801
elite_school_NA,0.0
estimate_center_usd,0.015671844
estimate_max_usd,0.31595346
estimate_min_usd,0.06736598
estimate_range_usd,0.0019579197
fest_biennal,0.002527189
gender_NA,0.0
gender_female,0.0021079213
gender_male,0.0
grad,0.003602589
group_show,0.0019182934
height,0.0029060703
log10_estimate_geo_mean_usd,0.30801615
max_price,0.00871152
meanprice_year,0.00677847
medianprice_year,0.0063795056
min_price,0.002725891
no_degree,0.0
non_elite_school,0.0041935663
price_inch_prev_10_max,0.0030714872
price_inch_prev_10_mean,0.0044472655
price_inch_prev_10_min,0.0034386343
price_inch_prev_3_max,0.0022743782
price_inch_prev_3_mean,0.003623082
price_inch_prev_3_min,0.0046788044
price_inch_prev_5_max,0.0037421223
price_inch_prev_5_mean,0.0040834663
price_inch_prev_5_min,0.0042113466
price_inch_prev_7_max,0.007999771
price_inch_prev_7_mean,0.0029634926
price_inch_prev_7_min,0.0015666209
price_same_size_prev_10_max,0.003636208
price_same_size_prev_10_mean,0.0029889678
price_same_size_prev_10_min,0.0033292153
price_same_size_prev_3_max,0.0038511779
price_same_size_prev_3_mean,0.0021633117
price_same_size_prev_3_min,0.003666167
price_same_size_prev_5_max,0.0024136077
price_same_size_prev_5_mean,0.0028549412
price_same_size_prev_5_min,0.0049857185
price_same_size_prev_7_max,0.0034791175
price_same_size_prev_7_mean,0.0034395545
price_same_size_prev_7_min,0.0017818605
price_usd_prev_10_max,0.0033774474
price_usd_prev_10_mean,0.004812082
price_usd_prev_10_min,0.0055568027
price_usd_prev_3_max,0.0021289203
price_usd_prev_3_mean,0.0017728545
price_usd_prev_3_min,0.0050659874
price_usd_prev_5_max,0.00271939
price_usd_prev_5_mean,0.0045582256
price_usd_prev_5_min,0.0020183215
price_usd_prev_7_max,0.00347091
price_usd_prev_7_mean,0.0029646608
price_usd_prev_7_min,0.00110165
private_inst,0.0023438006
public_inst,0.0038895002
ranking,0.0031542243
size_inchsqr,0.0033683935
solo_show,0.0020974337
undergrad,0.005956857
width,0.0029140988
year,0.0036900106
